TitleName,PersonName,AverageRatings
"Ellen Pompeo/Norman Reedus/Yo Gotti & Travis Barker","Jonathan Kimmel",6
"Ellen Pompeo/Norman Reedus/Yo Gotti & Travis Barker","Zack Bornstein",6
"Emancipation Day","Ruba Nadda",24
Emergency-in-Law,"T.J. Shanks",5
"Episode #1.443","John Sedwick",14
"Episode #1.5996","Jet Wilkinson",5
"Episode #1.7484","Graeme Harper",10
"Episode #2.2","Geraldine Dowd",15
"Episode #2.50","Durul Taylan",6
"Episode #2.50","Yagmur Taylan",6
"Episode #2.6","Niklas Ohlson",40
"Episode #2.6","Pontus Klänge",40
"Episode #3.2","Paul Harrison",15
"Episode #4.1","Anna Novion",66
"Episode #4.1","Pascale Ferran",66
"Episode #4.27","Marco Musienko",7
"Episode dated 25 August 2008","Dennis Coleman",8
"Everybody Hates Eggs","Jerry Levine",92
"Everybody Loves a Snowman","Bob Sweeney",72
"Exit Time","Kevin Dowling",535
"Eye of Evil","Eddie Dew",8
Familia,"Enrique Urbizu",26
"Fathers and Sins","Billy Gierhart",422
"Final Transmission","Alexander Buono",147
"Final Transmission","Rhys Thomas",147
"Fireballs and Bullet Holes","Ted Wass",272
"Flight 462: Part 11","Michael McDonough",140
"Flight of the Chum","Jairus Cobb",44
"Focus Grill","Loren Bouchard",61
"For Your Eyes Only","Peter Bonerz",222
"Forever I","Mark Sobel",5
"Forget Me Not","Don Roos",7
"Frequent Fliers","Michael Waxman",29
Frillan,"Ragnar Eklund",5
"Fugitive Kind","Howard Deutch",102
"Full Circle","Martin Wood",669
"Gadget in Minimadness","Bruno Bianchi",32
Genkai,"Masahiro Hosoda",6
Genkai,"Yûzô Satô",6
"George Lopez Invites Piper Reese to Interview Justin Bieber!? (PQP 047)!!!","Adam Feinsilver",12
"Getting Freaky at the Tiki","Glenn GT Taylor",12
Gifted,"Arlene Sanford",11
"Gilson Lubin","Allan Manson",24
"Girl Talk","Perry Lang",58
"Goddesses, Axl, Come in All Forms","Mark Beesley",55
"Going Bonkers","Robert Taylor",10
"Grace Under Pressure","Victor Lobl",12
"Great Expectations","Phil Traill",43
"Green Card","Dorothy Lyman",145
Halloween,"Fred Savage",24
"Happy Families","Sam Miller",17
"Hate the Love Seat","Howard Bretherton",6
"Have You Met Ms. Jones?","Daisy von Scherler Mayer",129
"Hayley Westenra: Live from New Zealand","David Horn",8
Heimlichkeiten,"Jürgen Brauer",5
"Hello, Dollface/Fit to Print","Bret Haaland",37
"Here in My Arms","Nicholas Sgarro",6
"Hogan Springs","Gene Reynolds",83
"Holiday Weekend","Gerald Mayer",11
"Home Helpless","Martin Hughes",5
"Homicide: Part 2","Noam Pitlik",40
"Homie, Lover, Friend","Mark Cendrowski",11
"Honey, I'm Going to Teach You a Lesson","Hayma Washington",6
"Horizon Zero","David Warry-Smith",43
"Horrid Henry VIII Special","Simon Gibney",5
"House of Revelations","Angelo Abela",16
"I Am What I Am","Bradford May",29
"I Defy Thee to Forget","Ken Girotti",81
"I Gave My Love","Charles R. Rondeau",8
"I See Love","James Burrows",109
"I'll Fly You for a Quid","Sydney Lotterby",24
"In Fair Verona, Where We Lay Our Scene","Michael Offer",392
"It's Too Confusing When Talking About the Poster Girl for a Poster Store, So Call Her a Sandwich Board","Yôichi Fujita",15
Jhandu,"Gurmmeet Singh",407
Jhandu,"Karan Anshuman",407
"Joey and the Valentine's Date","Andrew D. Weyman",228
"John Turturro/Tom Petty & the Heartbreakers","Dave Wilson",38
"Justin Bieber","Scott Aukerman",53
"Karajan or Beauty as I See It","Robert Dornhelm",20
"Katlanamiyorum (I can not Stand)","Neslihan Yesilyurt",5
Katvanger,"Indra Siera",29
"Kevin Spacey/Beck","Beth McCarthy-Miller",55
L'Elegance,"Jack Gold",6
"La paz para Castilla","Joan Noguera",17
"La planète FIFA: Épisode 1","Jean-Louis Perez",40
"Laas Wau Once Again","Shûji Iuchi",6
"Ladies' Night: A Female Empowerment Episode","Scott Zabielski",23
Laila,"Anno Saul",22
"Leikin loppu","Joona Tena",8
"Les rois du green","Olivier Jean Marie",11
"Lesson in Citizenship","Peter Tewksbury",36
"Letzte Liebe","Otto Retzer",6
"Letzte Stunde vor den Ferien","Felix Stienz",17
"Letzte Stunde vor den Ferien","Nicolas Berse",17
"Lewis Black","Paul Miller",85
"Lingerie Football","Randall Einhorn",95
"Lisa's Substitute","Rich Moore",2375
"Live Semifinal Results","Alan Carter",17
"Long Arm of the Law!","Ben Jones",86
"Lost: Part 2","Anthony Byrne",56
"Love Affair","Cliff Bole",15
"Love Hurts and So Does Art","Adam Kuhlman",202
"Lover Boy","Andrew V. McLaglen",98
"Lucy Discovers Wayne Newton","Maury Thompson",28
Lulu,"Eleanor Scoones",22
Luxuria,"Béla Ternovszky",6
Luxuria,"József Nepp",6
"Making a Stand","Peter Lauer",1446
"Malicious Mischief","Peter Levin",6
"Mark of Cain","Leonard Katzman",8
"May We Come In?","Marc Miller",8
"Meet Max and Faye","TJ Marchbank",5
"Meet the E.R.","Mark E. Swinton",7
"Mehr Druck","Patrick Winczewski",6
"Merry Glitchmas","Guy Distad",25
"Millions of Faces","William A. Graham",5
"Milo Full of Grace","David Trainer",64
"Moving Target","Scott Brazil",25
"Mr. Whiskers' First Friend","Timothy Björklund",19
"My Fair Buzzi","Coby Ruskin",12
"My Husband Is Not a Drunk","Alan Rafkin",122
"My Lady Love, My Dove","Herbert Wise",107
"My Old House","Neill Fearnley",28
"Myanmar's Killing Fields","Patrick Wells",25
"Natsuki Subaru's Restart","Yoshihito Mikamo",124
Nebenwirkungen,"Christoph Schnee",10
"New Faces","Michael A. Hoey",12
"New Kid in School","Kenneth Shapiro",220
"New to Love","Satonobu Kikuchi",12
"New to Love","Takuya Satô",12
"New to Love","Takuya Satô",12
"New to Love","Toshimasa Kuroyanagi",12
"New You","Pierre Séguin",37
"News from the Front","Derek Bennett",39
"Night of Miracles","Shin Itagaki",73
"Ninja Quest: Part III","Terence H. Winkless",110
"No Laughing Matter","Thomas Carr",6
"Nohal Hannibal","Gideon Raff",26
"Normal Boy/Birth of a Salesman","Keith Alcorn",49
Oathbreaker,"Daniel Sackheim",23536
"Of Soviets and Saviors","Emmanuel Amara",21
"Of Soviets and Saviors","Florian Dedio",21
"Of Soviets and Saviors","Kai Christiansen",21
"One Is the Loneliest Number","Mark Linn-Baker",8
"Open and Shut","Joe Ann Fogle",186
"Operation: Deja View","Art Dielhenn",16
"Operation: I.-S.C.R.E.A.M./Operation: C.A.N.N.O.N.","Tom Warburton",58
"Osa 1","Matti Ijäs",6
"Osudná vestba","Václav Vorlícek",8
"Over a Cliff","Tom Verica",372
Pakt,"Vladimír Michálek",7
"Papa's Little Dividend","Zane Buzby",25
"Part 2","Mick Garris",130
"Part Fifteen","Ronald Wilson",11
"Part One","Stuart Orme",18
"Pastoria Prime Pick","Lawrence Doheny",148
"Pater Familias","John Gray",134
"Patron Saint","Millicent Shelton",187
"Pattie Sue Edwards (No. 68)","Donald E. Thorin Jr.",529
"Picking Up the Pieces","Gerry O'Hara",10
"Pizza Girl","Terry Hughes",5
Plague,"Christofer Graham",15
"Planet of the Amazon Women","Philip Leacock",132
"Platinum Wheel of Fortune","James T. Walker",12
"Porsche 944 Turbo Part 1","Stephen Mizelas",18
Pre-Nups,"Peter Baldwin",27
"Previous Convictions","Tristram Powell",25
Progeny,"Michael Samer",6
"Project Dawn: Part 9","Daniel Percival",344
"Prosit Neujahr","Jürgen Roland",6
"Pula Aika - Die Unruhezeit","Hartmut Griesmayr",9
"Puppy Sitter","Gary Selvaggio",7
Purgatory,"Jesús Salvador Treviño",182
"Pyramids of Terror","Bob Richardson",39
Quinceanera,"Andrew Tsao",126
"Rabbid Elevation/Surprise Rabbid/Rabbid Test N°98001-c: the Mirror","Fabien Ouvrard",13
"Rabbid Elevation/Surprise Rabbid/Rabbid Test N°98001-c: the Mirror","Stéphane Mit",13
Re-inseminator,"Ricardo A. Solla",5
"Rebel Spirit","Colin Heck",1265
Reckoning,"Mikael Salomon",269
Reckoning,"Stefan Schwartz",269
"Requiem for a Cop","Paul Lynch",10
"Rescue at Sea","Ben Loeterman",6
Reunion,"Tarô Iwasaki",6
"Richard Dawkins","Bengt Anderson",29
"Riddles of the Sphinx","Gary Glassman",46
"Rock Hound","Franklin Adreon",6
"Rogues' Gallery","Oz Scott",2990
"Rule #49: Let It Shine","Terrell Clegg",17
"Ryoga's Proposal","Kôji Sawai",11
S1e2,"Jonathan Sjöberg",10
Safe,"Tim Steele",53
"Sarah Jessica Parker","Jeff Wurtz",8
"Sayonara to banpaia","Kôji Hôri",28
"Scot Free","Gareth Gwenlan",8
"Scot Free","Jonathan Lynn",8
"Second Chances","Jason Sands",13
"Shaadi ke Side Effect Leke aaye Farhan aur Vidya","Bharat Kukreti",17
Shibboleth,"Darnell Martin",157
"Shigure to shôjo","Takahiro Ômori",17
"Show #176 - Mach den Asi weg, der nervt!","Sebastian von Freyberg",5
"Shung the Terrible","Frank De Palma",6
"Silence of the Lambskins","Elodie Keene",7
"Situations Vacant","Stuart Allen",6
Skinwalker,"Douglas Segal",16
"Sleep to Grow","Jill Carter",7
"Socializing Sucks","Sean Becker",97
"Something Given: Parts 1 & 2","Akiyuki Shinbo",18
"Something Given: Parts 1 & 2","Kenjiro Okada",18
"Something Given: Parts 1 & 2","Yukihiro Miyamoto",18
"Something Rotten on Berserker Island","Robert Briggs",44
"Something, Something, Something, Dark Side","Dominic Polcino",5302
"Something, Something, Something, Dark Side","James Purdum",5302
"Something, Something, Something, Dark Side","Peter Shin",5302
"Sor-Dead Affair","Mike Williamson",14
"Sorry, Wrong Meeting","Bob Lally",58
"Soul Train: The Hippest Trip in America","J. Kevin Swain",29
"Speak Now","Mike Rohl",77
"Sphere of Influence","Kyle Dunlevy",628
"Spy Something or Get Out","Michael Kennedy",23
Stalker,"Steve DiMarco",6
"Stiller Tod","Richard Huber",45
"Stone Ridge Mansion","Cat Santarosa",32
"Stop That Pigeon/Grease Job/Robot/The Big Topper/Zilly's a Dilly","Joseph Barbera",22
"Stop That Pigeon/Grease Job/Robot/The Big Topper/Zilly's a Dilly","William Hanna",22
"Stowing Pains","James Taylor",6
"Suterareta kamen","Gorô Taniguchi",156
"Sutoraiku uicchîzu","Hiroyuki Kanbe",6
"Sutoraiku uicchîzu","Kazuhiro Takamura",6
"Sutoraiku uicchîzu","Ken'ichi Yatagai",6
"Sutoraiku uicchîzu","Tadashi Shida",6
"Sylvester Stallone/John Stamos/Shawn Mendes & Camila Cabello","Dave Diomedi",15
"Tag 4: Die schwulenfreundlichsten Winterspiele der Welt","Michael Maier",12
"Takes Two to Tango","Peter Frazer-Jones",7
"Teacher's Pet","John Blanchard",12
"Ted at the Helm","David Croft",10
"The 5th Victim","Fernando Lamas",43
"The Bank Job","Gerren Keith",44
"The Beginning of a Journey","Gisaburô Sugii",31
"The Beginning of a Journey","Gisaburô Sugii",31
"The Best of Mr. Pedro","Shin'ichi Watanabe",10
"The Big Flame","Ken Loach",48
"The Bird That Cried Pig","Eric Guaglione",12
"The Bird That Cried Pig","Kim Helminen",12
"The Birth of Greymon","Hiroyuki Kakudo",139
"The Black Wings","Atsushi Otsuki",7
"The Black Wings","Nobuyoshi Habara",7
"The Bonfire of the Manatees","Mark Kirkland",936
"The Brothers Cinco","Jonathan Krisel",46
"The Canvas Bullet","Stuart Rosenberg",14
"The Commercial","Patrick Maloney",6
"The Creature's Revenge: Part 5","Shaun O'Riordan",25
"The Crossing","David Livingston",759
"The Curse of Moose Creek","John Westheuser",9
"The Curse of Moose Creek","Peter Gombos",9
"The Curse of Moose Creek","Simon Schneider",9
"The Day the Magic Died","Stuart Gillard",446
"The Detective Wore Silk Drawers","Alan Grint",9
"The Doorway, Part 2","Scott Hornbacher",1291
"The Final Scream","Kevin R. Hershberger",8
"The First Anniversary","Frederick De Cordova",7
"The Great Sebastian","Jamie Mitchell",22
"The Great Sebastian","Mircea Mantta",22
"The Guru of Surbiton","John Howard Davies",47
"The High Country","Gene Nelson",56
"The Honeymooners","Rob Schiller",71
"The Kill","Ben Wheatley",14
"The Last Temptation of Mac","Jeff Melman",45
"The Left Hand Is Damned","Harmon Jones",14
"The Leisure Hive: Part One","Lovett Bickford",231
"The Lucille Ball Show","Norman Abbott",27
"The Masked Offender/Things That Go Piglet in the Night","Karl Geurs",26
"The Misfit","Lloyd Kramer",41
"The Moabite Cypher","Reginald Collin",17
"The Mothers of PT-73","Sidney Lanfield",21
"The Newtype: Challia Bull","Yoshiyuki Tomino",12
"The Party","Giles Foster",90
"The Possessed","William Hale",68
"The Problems with Jeggings Continue","Vincent Peone",6
"The Queen of the Lake","Shuu Watanabe",145
"The Queen of the Lake","Tomohiko Itô",145
"The Race & the Relationship","Ron Lagomarsino",215
"The Real Fatal Attraction","Andrea De Brito",8
"The Reason I Like You","Won-ho Shin",5
"The Restless Ghost","Vic Hughes",7
"The Rhodes Not Taken","John Scott",1294
"The Rise of Minna Nordstrom","David Askey",11
"The Rockefellers: Part 2","Adriana Bosch",29
"The Secret of Dagger Rock","Rob LaDuca",31
"The Secret of Strandhill","Gordon Langevin",47
"The Sniper","Jack Herzberg",19
"The Steal-Driving Man","Glen A. Larson",18
"The Threat of Zeon","Takeyuki Kanda",15
"The Tightening","Erin Feeley",1033
"The Truth Is Out There","Peter Salmon",32
"The Unnatural","Joe Sichta",69
"The Unnatural","Scott Jeralds",69
"The Unstuck Man","Guy Magar",106
"The Upright Man","Charles Crichton",10
"The Vision","Daniel Grou",2457
"The Visitation: Part One","Peter Moffatt",281
"The Wedding","Judy Pioli",23
"The Wisdom of Solomon","William F. Claxton",169
"This Ain't the Way We Used to Do It","Stanley Z. Cherry",14
"This Baby's Gonna Fly","Christopher Chulack",6
"This Is the Color of My Dreams","Steve Miner",115
"This Land Is Your Land","Carrie Havel",23
"Ties That Bind","James Hayman",143
"To the Boy in the Blue Knit Cap","Jean de Segonzac",161
"Top Dog","Todd Kauffman",37
Tossup,"Christian Nyby",9
"Trash Trouble","Sigvaldi J. Kárason",16
"Treading Carefully","Catherine Morshead",11
"Tribal Justice","John English",7
"True Disaster","Sheldon Epps",11
"Try Honesty: Part 1","Sturla Gunnarsson",40
"Two Camps","Noreen Kershaw",7
Two-A-Day,"Alfonso Trinidad",6
"Una rehabilitación, un apechusque mortal y un retorno a Villazarcillo","Laura Caballero",23
"Under the Influence","John Terlesky",718
"Under the Weather","Jeffrey Walker",65
"Up Close & Personal Presents an Interview with Sandra West","Scott Rhodes",8
Vendetta,"Lambert Hillyer",8
Venus,"Michael Weaver",63
"Veronica's Sleepover","Shelley Jensen",10
"Videos & Villains","Craig Wyrick-Solari",31
Vine,"Frederick E.O. Toye",44
"Vuelta a casa","Ramón Salazar",47
Waidmannsheil,"Felix Herzogenrath",44
"Wallah, Wallah Catsmeat","Duncan Wood",30
"We'll Just Have to Find Another Way to Cut the Balls Off of This Thing","David S. Tuttman",168
"Welcome to Westfield","David Straiton",1454
"What Kind of Day Has It Been","Alan Poul",1333
"What's God to Julius?","Robert Gist",7
"When Are Critics Wrong?","Doug Walker",53
"When They See Us Coming","Lin Oeding",161
"Why You Crying?","John Pasquin",71
"Will to Survive","Rob Stewart",10
"William, Here We Come!","Luke Neslage",8
"Wiping Away the Past","Rob Bailey",187
"With Malice Toward One","Jules Bricken",102
"Wohin du auch gehst","Hans-Jürgen Tögel",23
"Yard Sale","Phill Lewis",95
"Yasanmamis Hayatlar","Uluç Bayraktar",71
"You Decided That I Was Worth Saving","Michael Karasick",621
"You Say You Want a Revolution","Vito J. Giambalvo",8
"You're Gonna Get It","Victor Gonzalez",76
"Zerrissene Herzen","Michael Steinke",27
"Zu viele Klienten","Franziska Meyer Price",6
"¡León y 'El Chino' mueren el mismo día!","Alejandro Lozano",8
"@18 All Time Dourer Upor","Adnan Al Rajeev",231
"A Life on Screen: Stephen Fry","Samantha Peters",17
"A Very Merry Mix-Up","Jonathan Wright",2601
Abgefahren,"Uwe Frießner",29
"Ali: An American Hero","Leon Ichaso",192
"Alice Through the Looking Glass","John Henderson",1324
"An American Daughter","Sheldon Larry",112
"And Then One Night: The Making of 'Dead Man Walking'","Linda Schaller",5
"Austin Powers' Electric Pussycat Swingers Club","Bruce Leddy",181
